2017/01/07 17:28:53:756  Adding initial activity to realm.
2017/01/07 17:28:54:180  Binding data signals to new activity.
2017/01/07 17:29:11:709  Adding new data point.
2017/01/07 17:29:11:728  adding data with power 0
2017/01/07 17:29:12:692  Adding new data point.
2017/01/07 17:29:12:715  adding data with power 150
2017/01/07 17:29:16:467  Adding new activity to realm.
2017/01/07 17:29:16:476  Binding data signals to new activity.
2017/01/07 17:29:16:496  Updating activity name from edit page.
2017/01/07 17:29:20:019  Adding new data point.
2017/01/07 17:29:21:016  Adding new data point.
2017/01/07 17:29:22:018  Adding new data point.
2017/01/07 17:29:23:017  Adding new data point.
2017/01/07 17:29:23:943  Adding new data point.
2017/01/07 17:29:25:017  Adding new data point.
2017/01/07 17:29:26:018  Adding new data point.
2017/01/07 17:29:27:018  Adding new data point.
2017/01/07 17:29:28:013  Adding new data point.
2017/01/07 17:29:29:020  Adding new data point.
2017/01/07 17:29:30:021  Adding new data point.
2017/01/07 17:29:31:015  Adding new data point.
2017/01/07 17:29:32:011  Adding new data point.

